,Job Title,Company,Description
459,EMR Account Executive,CureMD Healthcare,"2+ years of experience selling Practice Management, Electronic Health Records & RCM software/solutions to office based doctors or physician organizations; or at…"
460,Dispensing Optician,Private Practice Ophthalmology,As an Optician you will work closely with the Doctor to ensure our patients receive a first-class eyecare experience while aiding them in purchasing the right…
461,Medical Doctor,Marco A. Garcia Medical Center,"We are looking for a responsible Physician to provide high quality medical care by examining patients and treating diseases.
Proven experience as a physician."
462,Corporate Counsel,Medidata Solutions,"Medidata is leading the digital transformation of life sciences, creating hope for millions of patients.
The successful candidate will support Medidata’s Sales…"
463,REGISTERED NURSE,SUNY Downstate Medical Center,"Track labs for doctors and communicate changes of abnormal values.
Assist medical and nursing staff, perform physical assessments, obtain demographic data and…"
464,Director of Advocacy,Physicians for Human Rights,Other activities central to the organization’s mission include protecting the rights of those seeking asylum in the United States and halting attacks on medical…
465,Marketing Communications Manager,RELX Group,"You’ll execute research on market trends and opportunities, needs and competition; manage relations with internal and external stakeholders (professional…"
466,Optical Sales Associate,EYEPIC,"An expanding eye-care practice is looking for an experienced Sales Professional with outstanding customer service skills.
Optical sales: 1 year (Required)."
467,Academic Hospitalist - Lenox Hill Hospital,Northwell Health,Northwell Health Department of Medicine seeks Board Certified/Board Eligible Internal Medicine to join the Hospitalist Program at Lenox Hill. Ideal candidates…
468,Surgeon,U.S. Air Force,"Sometimes the only way to diagnose, repair or treat medical problems is through surgery.
Specializing in operating room procedures, Surgeons provide critically…"
469,Psychiatric Nurse Pracitioner,SohoMD PLLC,The practice caters to working professionals who live or work in various states (must see patients in the state you are licensed in).
470,Director of Interpretation,Bluecadet,The director of interpretation must be an exceptional storyteller with demonstrated success in developing narrative strategies for usage across a variety of…
471,Residential Direct Support Professional,Job Path,"Accompanying individuals to doctors appointments.
Reading and initialing the consult sheet and following through with the information given by the doctor."
472,Hyperbaric Medicine Physician needed,Confidential,"\* Perform medical procedures as necessary.
\* Communicate information regarding diagnosis and treatment goals.
\* Medical license in good standing."
473,Veterinary Practice Manager,BluePearl Veterinary Partners,"You will partner and oversee the doctor team, medical team, and client service representatives, guiding them to the next level of development."
474,Medical Doctor,Housing Works,"The medical doctor will coordinate all the services necessary for health promotion, maintenance, rehabilitation and the prevention of disease and disability."
475,Per Diem Staff Pharmacist-NY,"PillPack, LLC","Flexibility with schedule and willingness to be on call.
Doctor of Pharmacy (PharmD) degree.
1+ years experience in retail, LTC, or mail-order pharmacy."
476,Private Dental Office Seeks Patient Care Specialist,DiBona & Scamardella Dental Studio,"Liaison between doctors, front and back office team.
Providing exceptional customer service (A MUST!!).
Being the New Patient Concierge – phone calls, emails,…"
477,Designer Growth Marketing - HBO Max,HBO Max,"As the Designer, Growth Marketing for HBO Max, you will assist in driving the operational success for the creative and visual execution of WarnerMedia's new…"
478,Mental Health Specialist,One Medical,"Excellent clinical and communication skills.
A holistic, team based approach to care and be comfortable with doing consults.
PhD or PsyD in Psychology."
479,Spanish Bilingual Interpreter,CyraCom,"Please note this is not a remote position.
As a bilingual interpreter, you will use your working languages and interpersonal skills to provide accurate meaning…"
480,Admissions & Marketing Manager,Weill Cornell Medicine,"The Admissions & Marketing Manager will provide programmatic admissions and marketing operations of the department’s educational offerings, including our three…"
481,Senior Data Scientist,AETNA,"This role will build predictive models, work with clinical experts (e.g. doctors) to translate their subject matter expertise into machine learning models,…"
482,"Contracts Manager, Joint Clinical Trials",Weill Cornell Medicine,"This role is also responsible for mitigating risk on behalf of the research community, decreasing document turnaround time and increasing contracting related…"
483,Public Hospice Nurse - Staten Island,Advanced Care Placement Services,"Notify a doctor for a patient’s condition when deemed necessary.
Collaborate with physicians and other professionals to plan care."
484,"Sr. Manager, Logistics",Amazon.com Services LLC,"10+ years of relevant real estate experience, including serving in a planning, zoning or land use capacity.
Strong written and oral communication skills."
485,Wound Care Nurse,Korzen Health,"Clinical knowledge of wound care, with the ability to effectively teach and train doctors, clinicians and non-clinicians, in the one-on-one and group training…"
486,Product Manager,Tatch,"Launch new product lines in short time frames.
Define user journey based on customer needs.
Evaluate market competition and trends."
487,Licensed Medical Assistant,New York Doctors Urgent Care,"Must be flexible to work during the week and some evenings and weekends required.
Our ideal candidate must be nationally certified or registered, and have…"
488,Pool Technicians / Installers / Laborers- IMMEDIATE HIRE,POOL DOCTOR CONTRACTORS,"Experienced pool maintenance technicians / Installers for above ground and inground pools / Laborers.
Full time position immediately available."
489,Medical Assistant,First Rate PT and Rehabilitation,"You will support doctors and patients through a variety of tasks related to patient care management, organization and communication."
490,EMR Account Executive,CureMD Healthcare,"2+ years of experience selling Practice Management, Electronic Health Records & RCM software/solutions to office based doctors or physician organizations; or at…"
491,Hyperbaric Medicine Physician needed,Confidential,"\* Perform medical procedures as necessary.
\* Communicate information regarding diagnosis and treatment goals.
\* Medical license in good standing."
492,Board Certified Plastic Surgeon,New Life Plastic Surgery Miami,"Flexible schedule from 2-3 surgical days per week (Mon-Sat surgical schedules).
Board Certified/Board Eligible Plastic."
493,Marketing Coordinator,Sollis Health,"We are looking for a savvy Marketing Coordinator to join the team, who reports directly to both the Marketing Director and Brand Marketing Director."
494,Dispensing Optician,Private Practice Ophthalmology,As an Optician you will work closely with the Doctor to ensure our patients receive a first-class eyecare experience while aiding them in purchasing the right…
495,Genetics Counselor,Weill Cornell Medicine,"Under general supervision, provides genetic testing, education and support to patients and provides programmatic support to the departments clinical program(s)…"
496,Corporate Counsel,RELX Group,"To assist with copyright infringement enforcement cases and anti-piracy programs, both internally and with other publisher legal representatives and trade group…"
497,"Dental Territory Manager - Long Island North, NY",Align Technology,"You will be responsible for selling directly to professional business owners (General Dentists), transforming an analog process with clear aligners and…"
498,Personal Care Aide,Addus Homecare,"Transport client to doctor's office, grocery store and other essential errands.
FREE Medical/Dental Insurance (incl. dependent children)."
499,Laundry Attendant,Glenwood laundromat inc,"We have both part-time and full-time positions open.
Wash&Fold - 80% of the time.
Dealing with customers - 10% of the time.
High school or equivalent education."
500,Staff Accountant,Nutrafol,"The Staff Accountant is responsible for the daily tasks of invoicing, AP, payments, AR, credit cards, and month end duties.
2+ years’ experience in accounting."
501,"Agile Program Manager, New Verticals",CLEAR - Corporate,"This individual has a strong track record for execution and delivery of effective, highly-available, and flexible technology solutions in a hyper-growth fast…"
502,Engineering Manager - Growth,Capsule,Lead a team of talented Software Engineers at various experience levels owning a critical part of the Capsule Platform.
503,Telehealth Physician,Physician Affiliate Group of NY,"Medical doctor with 3 to 5 years of directly related experience preferred.
Besides providing administrative and human resources services, PAGNY also fosters an…"
504,Ophthalmic Technician (Scribe),New York Cornea,"Job responsibilities include, patient histories, work-ups, testing, assisting the doctors with procedures.
Experience preferred, but willing to train the right…"
505,Veterinary Practice Manager,BluePearl Veterinary Partners,"You will partner and oversee the doctor team, medical team, and client service representatives, guiding them to the next level of development."
506,Medical Doctor,Marco A. Garcia Medical Center,"We are looking for a responsible Physician to provide high quality medical care by examining patients and treating diseases.
Proven experience as a physician."
507,Medical Doctor,Housing Works,"The medical doctor will coordinate all the services necessary for health promotion, maintenance, rehabilitation and the prevention of disease and disability."
508,Specialty Pharmaceutical Sales Rep/Clinical Specialist- Uppe...,Indivior,"Invest the time and the effort to achieve the established goals for the territory such as sales, market share, doctor calls, appropriate program planning, etc."
509,Controller,Pager,You will be working along-side our CEO to continue to build out our finance team as well as the accounting operation and financial reporting function – setting…
510,Behavioral Health @ East,Crossover Health,"The Behavioral Health Virtualist provides evidence-based, goal-oriented psychotherapy to individuals and couples through asynchronous (e.g., secure messaging)…"
511,Pharmacy Resident,Mount Sinai,"Performs all duties associated with the Registered Pharmacist position within the scope of licensure.
Provides pharmaceutical care to unit specific patients…"
512,Associate General Counsel,AIG,"LG - Legal, Regulatory & Gov't Affairs.
Estimated Travel Percentage (%): Up to 25%.
This role will support projects that are time-sensitive, highly visible…"
513,Data Scientist,Garner Health,"Architect and write code that will process claims data and derive scores for individual doctors.
Work with Garner's CEO and analytics team to conduct deep…"
514,"Vice President, Transactional Risk Underwriter",Berkley,The Vice President will underwrite all aspects Representations and Warranties Insurance for Global Financial and Strategic Buyers acquiring North American…
515,Ophthalmic Technician,EYEPIC,"Job responsibilities will include, but are not limited to, assisting our Doctors by pre-testing the patients using state-of-the-art equipment."
516,Family Medical Doctor,Harlem United Community AIDS Center Inc,"And procedures, the Family physician manages the adults and pediatric patients, with focus on growing.
The Family physician delivers high quality comprehensive…"
517,"Medical Doctor, Internist",BRC,"Full-time, 37.5 hours per week.
(Some flexibility with days and hours acceptable.).
Provide physicals to Homeless Men new to the shelter system."
518,Hyperbaric Medicine Physician needed,Confidential,"\* Perform medical procedures as necessary.
\* Communicate information regarding diagnosis and treatment goals.
\* Medical license in good standing."
519,Veterinary Practice Manager,BluePearl Veterinary Partners,"You will partner and oversee the doctor team, medical team, and client service representatives, guiding them to the next level of development."
520,Medical Doctor,Marco A. Garcia Medical Center,"We are looking for a responsible Physician to provide high quality medical care by examining patients and treating diseases.
Proven experience as a physician."
521,Medical Doctor,Housing Works,"The medical doctor will coordinate all the services necessary for health promotion, maintenance, rehabilitation and the prevention of disease and disability."
522,EMR Account Executive,CureMD Healthcare,"2+ years of experience selling Practice Management, Electronic Health Records & RCM software/solutions to office based doctors or physician organizations; or at…"
523,Board Certified Plastic Surgeon,New Life Plastic Surgery Miami,"Flexible schedule from 2-3 surgical days per week (Mon-Sat surgical schedules).
Board Certified/Board Eligible Plastic."
524,Dispensing Optician,Private Practice Ophthalmology,As an Optician you will work closely with the Doctor to ensure our patients receive a first-class eyecare experience while aiding them in purchasing the right…
525,Medical Assistant,Bedford Medical Family Health Center,"Work closely with doctors, specialists and other medical staff.
Established Family Medical Center in Williamsburg, Brooklyn is looking to hire a full time…"
526,Lab Technologist,Northwell Health,"Reviews “critical” level results and notifies patients’ doctor of same.
As a Lab Technologist you will perform clinical laboratory procedures, examinations and…"
527,"Compliance Specialist, Risk Adjustment Auditor (Remote)",Weill Cornell Medicine,"Serves as an internal expert on Risk Adjustment and Hierarchical Conditions Categories (HCC) coding.
Provides training, education and coaching to providers and…"
528,Summer Camp Director - Camp Shane NY,Camp Shane,"For example: organizing off camp trips, doctor visits, evaluating staff performance, being a liaison with our host school representatives, writing incident…"
529,Laboratory Supervisor,Weill Cornell Medicine,"Under direction, provides operational support for research laboratories and supervises of a variety of activities related to the planning, performance and…"
530,Strategic Sales Director,One Medical,"As One Medical continues to deepen its footprint nationally, we are seeking a Strategic Sales Director who will be responsible for fostering new relationships…"
531,Dental Office Administrator,Park Slope Kids Dental Care,"Respond efficiently to patient and doctor needs and inquiries.
Soft music and television to entertain them while getting their treatment."
532,Emergency Services Physician,U.S. Air Force,"When Airmen or their families have a medical emergency, time can be of the essence.
Focused on immediate decision-making and treatment, Emergency Services…"
533,Marketing Specialist,silvercareagency,"Marketing Specialist will be responsible for making connections at facilities, doctor offices and nursing homes."
534,Associate Product Manager,Nomad Health,"Nomad replaces antiquated staffing agencies with modern technology to efficiently source, qualify, and hire medical talent on demand."
535,Veterinary Practice Manager,BluePearl Veterinary Partners,"You will partner and oversee the doctor team, medical team, and client service representatives, guiding them to the next level of development."
536,Hyperbaric Medicine Physician needed,Confidential,"\* Perform medical procedures as necessary.
\* Communicate information regarding diagnosis and treatment goals.
\* Medical license in good standing."
537,Medical Doctor,Marco A. Garcia Medical Center,"We are looking for a responsible Physician to provide high quality medical care by examining patients and treating diseases.
Proven experience as a physician."
538,Medical Doctor,Housing Works,"The medical doctor will coordinate all the services necessary for health promotion, maintenance, rehabilitation and the prevention of disease and disability."
539,EMR Account Executive,CureMD Healthcare,"2+ years of experience selling Practice Management, Electronic Health Records & RCM software/solutions to office based doctors or physician organizations; or at…"
540,Board Certified Plastic Surgeon,New Life Plastic Surgery Miami,"Flexible schedule from 2-3 surgical days per week (Mon-Sat surgical schedules).
Board Certified/Board Eligible Plastic."
541,Dispensing Optician,Private Practice Ophthalmology,As an Optician you will work closely with the Doctor to ensure our patients receive a first-class eyecare experience while aiding them in purchasing the right…
542,EMR Account Executive,CureMD Healthcare,"2+ years of experience selling Practice Management, Electronic Health Records & RCM software/solutions to office based doctors or physician organizations; or at…"
543,Research Accountant,Weill Cornell Medicine,"Establishes and maintains the integrity and health of research related financial accounts.
Ensures that institutional fiscal reporting responsibilities are met…"
544,Associate Veterinarian (New York Region),"Czaps Consulting, LLC","Most importantly, choose when you want time off - no questions asked!
New York and the Tristate area (includes Long Island, Westchester, Hudson Valley,…"
545,Physician,The IMA Group,"Explain your role to the claimant: Maintain no doctor/patient relationship.
Review available documentation including claimant history."
546,Director Doctor: Implant Dentist/Surgeon,UDG Management,"This position is for an ownership opportunity, where the Director Doctor will have clinical autonomy, the ability to coach and mentor Doctors within the office,…"
547,Orthodontic Assistant,Diamond Braces,"Makes entries in patient files as directed by the doctor.
Taking diagnostic records including alginate impressions, intra-oral scans, x-rays and digital photos."
548,Advanced Nurse Practitioner,Prospero Health,"Work with the patient’s other doctors to coordinate care.
All the while, you'll be building meaningful relationships with the patients, their families, and the…"
549,Pharmacy Liaison- New York Presbyterian,Shields Health Solutions,"Critical to this position is a person who is able to work independently and establish strong and credible relationships with patients, clinicians and internal…"
550,Business Development Associate,All Metro Healthcare,"Develop and maintain relationships with community referral sources such as, but not limited to, Medicaid managed long term care plans, hospitals, doctor's…"
551,Optometrist,Manhattan Vision Associates,"This role allows you to see patients with a wide variety of pathology and refractive needs, as well as complicated conditions.
A great salary plus bonuses."
552,Full-Time Medical Assistant needed for Top-Rated Private Pra...,"Leaf Medical, PLLC","Updating doctors on EHR about patient status.
Collecting lab specimens and coordinating lab pick up, ordering labs for the doctor."
553,Hyperbaric Medicine Physician needed,Confidential,"\* Perform medical procedures as necessary.
\* Communicate information regarding diagnosis and treatment goals.
\* Medical license in good standing."
554,Veterinary Practice Manager,BluePearl Veterinary Partners,"You will partner and oversee the doctor team, medical team, and client service representatives, guiding them to the next level of development."
555,Board Certified Plastic Surgeon,New Life Plastic Surgery Miami,"Flexible schedule from 2-3 surgical days per week (Mon-Sat surgical schedules).
Board Certified/Board Eligible Plastic."
556,Dispensing Optician,Private Practice Ophthalmology,As an Optician you will work closely with the Doctor to ensure our patients receive a first-class eyecare experience while aiding them in purchasing the right…
557,Medical Doctor,Marco A. Garcia Medical Center,"We are looking for a responsible Physician to provide high quality medical care by examining patients and treating diseases.
Proven experience as a physician."
558,Medical Doctor,Housing Works,"The medical doctor will coordinate all the services necessary for health promotion, maintenance, rehabilitation and the prevention of disease and disability."
559,EMR Account Executive,CureMD Healthcare,"2+ years of experience selling Practice Management, Electronic Health Records & RCM software/solutions to office based doctors or physician organizations; or at…"
560,Regional Client Services Representative-NYC,Lakeview Health,"The right candidate will have successfully called upon hospitals and be comfortable speaking with medical doctors, psychiatrists and therapists in a clinical…"
561,Urgent Care Physician,Essen Health Care,"With five clinical divisions, patient care is provided in medical offices, urgent care centers, hospitals, and nursing homes, as well as directly to patients in…"
562,Wound Care Specialist - MD,Clear Choice Medical Group,"With a primary goal of avoiding patient re-hospitalization for anything that can be treated in the facility, we have developed a successful program to maintain…"
563,Medical Assistant/Relations Associate- Float Pool,Mount Sinai,The Medical Assistant Relations Associate is responsible for effectively and efficiently providing patient procedures as ordered by the physician under the…
564,Software Engineer,Tembo Health,"Build products that enable doctors and nurses to meaningfully improve the quality of care of our patients.
Contribute both to existing applications and develop…"
565,Technical Support Engineer,CheckedUp,"Location: New York City; Full Time.
CheckedUp is looking for a Technical Support Engineer to take lead on complex problem solving related to LG Smart TVs …"
566,Licensed Clinical Social Worker,Doctor On Demand,"Through live video visits, our hand-picked, US-trained clinicians take patient history, perform an exam, and recommend a treatment plan."
567,Marketing Intern,Tatch,"Perform market research to identify personas.
Design marketing campaigns on relevant channel.
Execute marketing strategy on all relevant channels: email…"
568,Development Associate - Annual & Special Giving Programs,Weill Cornell Medicine,"Provides support and assistance for all aspects of Annual and Special Giving Program.
Under direction of the Director, coordinates fundraising and cultivation…"
569,IT Director,CheckedUp,"Location: New York City; Full Time.
Direct the information and data integrity of the company and its business units."
570,Hyperbaric Medicine Physician needed,Confidential,"\* Perform medical procedures as necessary.
\* Communicate information regarding diagnosis and treatment goals.
\* Medical license in good standing."
571,Veterinary Practice Manager,BluePearl Veterinary Partners,"You will partner and oversee the doctor team, medical team, and client service representatives, guiding them to the next level of development."
572,Board Certified Plastic Surgeon,New Life Plastic Surgery Miami,"Flexible schedule from 2-3 surgical days per week (Mon-Sat surgical schedules).
Board Certified/Board Eligible Plastic."
573,Dispensing Optician,Private Practice Ophthalmology,As an Optician you will work closely with the Doctor to ensure our patients receive a first-class eyecare experience while aiding them in purchasing the right…
574,Medical Doctor,Marco A. Garcia Medical Center,"We are looking for a responsible Physician to provide high quality medical care by examining patients and treating diseases.
Proven experience as a physician."
575,Medical Doctor,Housing Works,"The medical doctor will coordinate all the services necessary for health promotion, maintenance, rehabilitation and the prevention of disease and disability."
576,EMR Account Executive,CureMD Healthcare,"2+ years of experience selling Practice Management, Electronic Health Records & RCM software/solutions to office based doctors or physician organizations; or at…"
577,FP&A Manager,Nutrafol,"Reporting to the CFO, the FP&A Manager is a critical thinker, problem solver, and key collaborator whose mission is to support groups across Nutrafol through…"
578,Director Product Management,RELX Group,TheDirector of Product Management Engineering Solutions will own the end-to-end life-cycleof the Knovel product from ideation to retirement.
579,Extended Hours Physician,One Medical,"Full time 36 hours a week, in office.
You will be responsible for managing patients acute care concerns.
Common concerns and procedures include: URI, bronchitis…"
580,Clinical Account Manager,Capital Rx,"Provide clinical account management with a focus on client satisfaction, client retention, and trend management.
Prior client management experience preferred."
581,VP of Finance,CheckedUp,"Location: New York City; Full Time.
CheckedUp is looking for an VP of Finance to keep our company and clients’ numbers and budgets on track with unwavering…"
582,Clinical Pharmacist; Emergency Room,Mount Sinai,"Responsible for carrying out Clinical Pharmacy services with primary practice in the area of Emergency Medicine.
Serve as drug information resource."
583,Registered Nurse-Triage - Internal Medicine,Weill Cornell Medicine,"Under direction, assists physicians with triaging patient calls, health education/promotion, electronic medical record (EMR) chart management, coordination of…"
584,Mid-level Associate,Wigdor Law,"Benefits Offered: PTO (Paid Time Off), 401-K Plan, Medical, Dental, LTD/STD/LIFE Insurance.
Associates at Wigdor LLP are either recent law school graduates or…"
585,Optician and Optical Sales Associate,Surreal Eyewear,"Upscale Boutique in West Village seeking a Licensed Optician and experienced optical sale lead.
Candidates MUST have optical experience - it is essential for…"
586,Clinical Compliance Manager,Weill Cornell Medicine,"Responsible for managing the day-to-day non-billing compliance activities, including but not limited to, inquiries, investigations, compliance training,…"
587,Hyperbaric Medicine Physician needed,Confidential,"\* Perform medical procedures as necessary.
\* Communicate information regarding diagnosis and treatment goals.
\* Medical license in good standing."
588,Veterinary Practice Manager,BluePearl Veterinary Partners,"You will partner and oversee the doctor team, medical team, and client service representatives, guiding them to the next level of development."
589,Board Certified Plastic Surgeon,New Life Plastic Surgery Miami,"Flexible schedule from 2-3 surgical days per week (Mon-Sat surgical schedules).
Board Certified/Board Eligible Plastic."
590,Dispensing Optician,Private Practice Ophthalmology,As an Optician you will work closely with the Doctor to ensure our patients receive a first-class eyecare experience while aiding them in purchasing the right…
591,Medical Doctor,Marco A. Garcia Medical Center,"We are looking for a responsible Physician to provide high quality medical care by examining patients and treating diseases.
Proven experience as a physician."
592,Medical Doctor,Housing Works,"The medical doctor will coordinate all the services necessary for health promotion, maintenance, rehabilitation and the prevention of disease and disability."
593,Managed Care Liaison,MercyFirst,"Collaboration with all service providers (our therapists, doctors, etc.) as well as our Fiscal Department Team.
Assist with obtaining consents for treatment."
594,"Customer Consultant, Core Products, Academic",RELX Group,"Do you have experience in a customer facing role with a proven track record of maximizing customer satisfaction?
Excellent medical, dental and 401K benefits."
595,Didactic Coordinator,The City University of New York (CUNY),Our innovative curriculum allows students to complete both their undergraduate Bachelor of Science (BS) and Doctor of Medicine (MD) degrees in seven years.
596,Front Desk Receptionist/Office Assistant (Medical/Orthopedic...,Bay Ridge Orthopedic Assoc. P.C.,"Candidate should be familiar with verifying major medical insurance, Worker's Compensation insurance and No-Fault insurance.
Answering and routing phone calls."
597,"Program Manager, Pharmacy Operations",Oscar Health,"The two companies will begin offering the product under the Cigna + Oscar brand in late 2020.
The Pharmaceuticals Team develops, coordinates, and executes a…"
598,Business Manager,Sermo,"You’ve previously managed day-to-day operational activities in support of Senior Leadership Teams, including key global functional areas such as Finance, Sales,…"
599,Digital Marketing Associate,CheckedUp,"Location: New York City; Full Time.
The ideal candidate will also partner with internal team members to suggest long-term solutions that will improve the…"
600,Associate Medical Sales Representative (1099/Contract),"Paragon 28, Inc.","Educates and informs sales representatives, doctors, nurses, and appropriate staff personnel as to the proper use and maintenance of P28 products."
601,Medical Receptionist,USA Vein Clinics,"Assist doctors during Endovenous Laser Therapy procedures in accordance with instructions and individual doctor preferences.
Train new staff as needed."
602,Corporate Compliance Counsel,Macquarie Group Limited,"Macquarie Capital is looking for an experienced corporate compliance attorney to lead our Americas Anti-bribery and Corruption (AB&C) program, based in the New…"
603,Staff Nurse,Confidential,"Provide nursing care to the patients and support to the doctors.
Administer medicines and injections according to the time stated on their charts."
604,Patient Service Assistant - IM,"CareMount Medical, P.C.","Determine with the doctor, the necessary follow-up for medical diagnoses and symptoms over the phone.
Evaluate the significance of the patient's concerns and…"
605,Patient Service Assistant,"CareMount Medical, P.C.","Determine with the doctor, the necessary follow-up for medical diagnoses and symptoms over the phone.
Evaluate the significance of the patient's concerns and…"
606,Board Certified Plastic Surgeon,New Life Plastic Surgery Miami,"Flexible schedule from 2-3 surgical days per week (Mon-Sat surgical schedules).
Board Certified/Board Eligible Plastic."
607,Part Time Medical Assistant in gynecology office needed,"Joan Berman, M.D.","Answering phones, making appointments and taking messages for the doctors.
Medical assistant preferably with front desk experience."
608,Medical Doctor,Housing Works,"The medical doctor will coordinate all the services necessary for health promotion, maintenance, rehabilitation and the prevention of disease and disability."
609,Hyperbaric Medicine Physician needed,Confidential,"\* Perform medical procedures as necessary.
\* Communicate information regarding diagnosis and treatment goals.
\* Medical license in good standing."
610,Veterinary Practice Manager,BluePearl Veterinary Partners,"You will partner and oversee the doctor team, medical team, and client service representatives, guiding them to the next level of development."
611,Medical Doctor,Housing Works,"The medical doctor will coordinate all the services necessary for health promotion, maintenance, rehabilitation and the prevention of disease and disability."
612,Licensed Physician Assistant,New York Doctors Urgent Care,"Must be comfortable treating patients of all ages, as well as suturing and splinting.
Generous hourly salary plus additional benefits including medical benefits…"
613,Site Manager - Queens,City Practice Group of New York LLC,"Supervising, managing, monitoring, coaching, developing and evaluating performance of all staff on an ongoing basis in accordance with applicable performance…"
614,Research Evaluation Manager,RELX Group,"Critical to all stakeholders in the information system support research is the evaluation of the outcomes of research, and of the process through which inputs …"
615,Dental Assistant,Bensonhurst Dental Care,"Assisting doctors thoroughly and completely with orthodontic procedures with a high degree of professionalism and efficiency.
Must maintain a healthy lifestyle."
616,Drug Information Fellow,Touro College,"Throughout the program, the fellow will develop advanced skills in medical/drug information practice as a drug information specialist in various practice…"
617,Ophthalmologist,Medical Director Services PC,"Work in a multidisciplinary team with other doctors and staff.
Excellent salary will be offered, commensurate with experience.
Ensure high-quality patient care."
618,Software Engineer,Dolphin,Our client is a fast growing machine learning company that analyzes clinical healthcare data to generate actionable insights that improve the lives of over…
619,Patient Access Specialist,Hospital for Special Surgery,"Coordinate doctors’ pain center schedules with office staff.
Greet patients and answer phones in a friendly, professional manner; triage calls and provide…"
620,Senior Grants Specialist,Weill Cornell Medicine,"This position's porfolio consists of highly complex grant mechanisms (PPG, U, T, Equipment).
Maintains up-to-date knowledge and expertise in federal state…"
621,Clinical Psychologist,One Medical,"Excellent clinical and communication skills.
A holistic, team based approach to care and be comfortable with doing consults.
Actively licensed in NY (required)."
622,EMR Account Executive,CureMD Healthcare,"2+ years of experience selling Practice Management, Electronic Health Records & RCM software/solutions to office based doctors or physician organizations; or at…"
623,Medical Doctor,Marco A. Garcia Medical Center,"We are looking for a responsible Physician to provide high quality medical care by examining patients and treating diseases.
Proven experience as a physician."
624,Dispensing Optician,Private Practice Ophthalmology,As an Optician you will work closely with the Doctor to ensure our patients receive a first-class eyecare experience while aiding them in purchasing the right…
625,Board Certified Plastic Surgeon,New Life Plastic Surgery Miami,"Flexible schedule from 2-3 surgical days per week (Mon-Sat surgical schedules).
Board Certified/Board Eligible Plastic."
626,Dispensing Optician,Private Practice Ophthalmology,As an Optician you will work closely with the Doctor to ensure our patients receive a first-class eyecare experience while aiding them in purchasing the right…
627,Medical Doctor,Housing Works,"The medical doctor will coordinate all the services necessary for health promotion, maintenance, rehabilitation and the prevention of disease and disability."
628,EMR Account Executive,CureMD Healthcare,"2+ years of experience selling Practice Management, Electronic Health Records & RCM software/solutions to office based doctors or physician organizations; or at…"
629,Medical Doctor,Marco A. Garcia Medical Center,"We are looking for a responsible Physician to provide high quality medical care by examining patients and treating diseases.
Proven experience as a physician."
630,Veterinary Practice Manager,BluePearl Veterinary Partners,"You will partner and oversee the doctor team, medical team, and client service representatives, guiding them to the next level of development."
631,Tax Research and Planning,UniCredit Bank AG,This is a highly visible role directly reporting to the US Head of Tax and dealing with highly technical international tax issues.
632,ASSOCIATE PROGRAM DIRECTOR(MD),The Brookdale Hospital Medical Center,"Serve as a member of Brookdale Medical Center’s health team in the care, diagnosis, treatment and administration of patient services in assigned area."
633,Enrollment Counselor,Children's Aid,"Assist applicants to choose a managed care plan and primary care doctor.
Screen uninsured patients of all ages for Medicaid, Family Health Plus, and Child…"
634,Senior Product Manager,Pager,"Started in 2014 and based in New York City, Pager is led by seasoned technology and healthcare entrepreneurs to redefine the way that consumers interact with…"
635,Ship's Doctor for the Summer Sea Term 2020 - SUNY Maritime C...,SUNY Maritime College,"EMPIRE STATE is a public vessel of the United States, solely operated for the training and licensure of the cadet midshipmen."
636,Paid Media Manager,Nutrafol,"The Paid Media Manager will contribute to Nutrafol’s growth by driving channel strategy, campaign management, reporting, and analysis across paid search (SEM…"
637,LPN (Licensed Practical Nurse),CEDAR PARK GROUP,"You will work under the supervision of a registered nurse or doctor.
Competitive pay based on experience.
Shifts - full and part time available."
638,Security Officer - Upscale - Multiple Site,G4S,"As a Multiple Site Officer, you will conduct unarmed foot and/or vehicle patrol (interior and/or exterior), control access and egress, monitor CCTV and alarm…"
639,Brand Manager,Weill Cornell Medicine,This position will be responsible for enforcing the Weill Cornell Medicine brand to enhance the institution’s national reputation and will be accountable for…
640,Security Officer - Traditional,G4S,"As a Traditional Security Officer, you will conduct unarmed foot and/or vehicle patrol (interior and/or exterior), control access and egress, monitor CCTV and…"
641,Board Certified Plastic Surgeon,New Life Plastic Surgery Miami,"Flexible schedule from 2-3 surgical days per week (Mon-Sat surgical schedules).
Board Certified/Board Eligible Plastic."
642,Marketing Coordinator,Sollis Health,"We are looking for a savvy Marketing Coordinator to join the team, who reports directly to both the Marketing Director and Brand Marketing Director."
643,Medical Doctor,Housing Works,"The medical doctor will coordinate all the services necessary for health promotion, maintenance, rehabilitation and the prevention of disease and disability."
644,Board Certified Plastic Surgeon,New Life Plastic Surgery Miami,"Flexible schedule from 2-3 surgical days per week (Mon-Sat surgical schedules).
Board Certified/Board Eligible Plastic."
645,EMR Account Executive,CureMD Healthcare,"2+ years of experience selling Practice Management, Electronic Health Records & RCM software/solutions to office based doctors or physician organizations; or at…"
646,Veterinary Practice Manager,BluePearl Veterinary Partners,"You will partner and oversee the doctor team, medical team, and client service representatives, guiding them to the next level of development."
647,"Product Manager, Subscriptions & Payments",CLEAR - Corporate,Success in this role includes: (i) building subscription and promotion features that lead to higher trial conversions and renewal rates; (ii) creating automated…
